Epoch,TrainingScenario,Accuracy
103,Versicolor vs Virginica,100.00
103,Multi-Class (All 3),100.00
104,Setosa vs Rest,100.00
104,Versicolor vs Rest,100.00
104,Virginica vs Rest,100.00
104,Setosa vs Versicolor,100.00
104,Setosa vs Virginica,100.00
104,Versicolor vs Virginica,100.00
104,Multi-Class (All 3),100.00
105,Setosa vs Rest,100.00
105,Versicolor vs Rest,100.00
105,Virginica vs Rest,100.00
105,Setosa vs Versicolor,100.00
105,Setosa vs Virginica,100.00
105,Versicolor vs Virginica,100.00
105,Multi-Class (All 3),100.00
106,Setosa vs Rest,100.00
106,Versicolor vs Rest,100.00
106,Virginica vs Rest,100.00
106,Setosa vs Versicolor,100.00
106,Setosa vs Virginica,100.00
106,Versicolor vs Virginica,100.00
106,Multi-Class (All 3),100.00
107,Setosa vs Rest,100.00
107,Versicolor vs Rest,100.00
107,Virginica vs Rest,100.00
107,Setosa vs Versicolor,100.00
107,Setosa vs Virginica,100.00
107,Versicolor vs Virginica,100.00
107,Multi-Class (All 3),100.00
108,Setosa vs Rest,100.00
108,Versicolor vs Rest,100.00
108,Virginica vs Rest,100.00
108,Setosa vs Versicolor,100.00
108,Setosa vs Virginica,100.00
108,Versicolor vs Virginica,100.00
108,Multi-Class (All 3),100.00
109,Setosa vs Rest,100.00
109,Versicolor vs Rest,100.00
109,Virginica vs Rest,100.00
109,Setosa vs Versicolor,100.00
109,Setosa vs Virginica,100.00
109,Versicolor vs Virginica,100.00
109,Multi-Class (All 3),100.00
110,Setosa vs Rest,100.00
110,Versicolor vs Rest,100.00
110,Virginica vs Rest,100.00
110,Setosa vs Versicolor,100.00
110,Setosa vs Virginica,100.00
110,Versicolor vs Virginica,100.00
110,Multi-Class (All 3),100.00
111,Setosa vs Rest,100.00
111,Versicolor vs Rest,100.00
111,Virginica vs Rest,100.00
111,Setosa vs Versicolor,100.00
111,Setosa vs Virginica,100.00
111,Versicolor vs Virginica,100.00
111,Multi-Class (All 3),100.00
112,Setosa vs Rest,100.00
112,Versicolor vs Rest,100.00
112,Virginica vs Rest,100.00
112,Setosa vs Versicolor,100.00
112,Setosa vs Virginica,100.00
112,Versicolor vs Virginica,100.00
112,Multi-Class (All 3),100.00
113,Setosa vs Rest,100.00
113,Versicolor vs Rest,100.00
113,Virginica vs Rest,100.00
113,Setosa vs Versicolor,100.00
113,Setosa vs Virginica,100.00
113,Versicolor vs Virginica,100.00
113,Multi-Class (All 3),100.00
114,Setosa vs Rest,100.00
114,Versicolor vs Rest,100.00
114,Virginica vs Rest,100.00
114,Setosa vs Versicolor,100.00
114,Setosa vs Virginica,100.00
114,Versicolor vs Virginica,100.00
114,Multi-Class (All 3),100.00
115,Setosa vs Rest,100.00
115,Versicolor vs Rest,100.00
115,Virginica vs Rest,100.00
115,Setosa vs Versicolor,100.00
115,Setosa vs Virginica,100.00
115,Versicolor vs Virginica,100.00
115,Multi-Class (All 3),100.00
116,Setosa vs Rest,100.00
116,Versicolor vs Rest,100.00
116,Virginica vs Rest,100.00
116,Setosa vs Versicolor,100.00
116,Setosa vs Virginica,100.00
116,Versicolor vs Virginica,100.00
116,Multi-Class (All 3),100.00
117,Setosa vs Rest,100.00
117,Versicolor vs Rest,100.00
117,Virginica vs Rest,100.00
117,Setosa vs Versicolor,100.00
117,Setosa vs Virginica,100.00
